year,aces,player,fastserve
2005,12,Andy Murray,212
2006,5,Andy Murray,208
2007,11,Andy Murray,216
2009,11,Andy Murray,215
2010,10,Andy Murray,215
2011,10,Andy Murray,210
2012,9,Andy Murray,213
2005,5,Novac Djokovic,207
2007,10,Novac Djokovic,208
2008,12,Novac Djokovic,204
2009,7,Novac Djokovic,204
2010,4,Novac Djokovic,202
2011,5,Novac Djokovic,203
2012,7,Novac Djokovic,208
2013,7,Novac Djokovic,199
2003,17,Andy Roddick,225
2004,21,Andy Roddick,234
2006,16,Andy Roddick,229
2007,15,Andy Roddick,229
2008,16,Andy Roddick,229
2009,13,Andy Roddick,228
2010,8,Andy Roddick,223
2011,16,Andy Roddick,219
2012,14,Andy Roddick,222
2003,10,Roger Fedrer,200
2005,11,Roger Fedrer,206
2006,9,Roger Fedrer,209
2007,11,Roger Fedrer,207
2008,12,Roger Fedrer,206
2009,12,Roger Fedrer,209
2010,15,Roger Fedrer,210
2011,7,Roger Fedrer,209
2012,10,Roger Fedrer,203
2013,9,Roger Fedrer,202
2004,6,Rafal Nadal,205
2005,7,Rafal Nadal,208
2006,7,Rafal Nadal,204
2007,4,Rafal Nadal,197
2008,4,Rafal Nadal,197
2009,3,Rafal Nadal,195
2010,7,Rafal Nadal,212
2011,4,Rafal Nadal,202
2013,3,Rafal Nadal,198
2003,7,James Blake,204
2005,7,James Blake,214
2006,10,James Blake,211
2007,9,James Blake,210
2008,7,James Blake,207
2011,11,James Blake,205
2012,8,James Blake,209
2003,5,David Nalbandian,191
2005,7,David Nalbandian,196
2006,15,David Nalbandian,207
2007,9,David Nalbandian,204
2010,10,David Nalbandian,208
2011,7,David Nalbandian,197
2005,12,Fernando Verdasco,218
2008,4,Fernando Verdasco,205
2009,12,Fernando Verdasco,217
2010,13,Fernando Verdasco,220
2011,9,Fernando Verdasco,209
2012,6,Fernando Verdasco,207
2003,12,Mardy Fish,205
2012,12,Mardy Fish,206
2011,10,Mardy Fish,209
2010,16,Mardy Fish,217
2006,18,Mardy Fish,220
2008,17,Mardy Fish,220
2012,20,John Isner,230
2007,17,John Isner,227
2010,17,John Isner,223
2011,16,John Isner,223
2013,19,John Isner,225
2009,17,John Isner,224
